"shipment_id","pick_up_date","day","week","month","quarter","year","day_of_week","forwarder","warehouse_location","consignee","destination","number_of_packages","weight","quantity","value","number_of_pallets_per_day","trucking","trucking_billing"
1,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Echo","PARANAQUE","Consignee Zulu","CHINA","10","168.70","82100","38613.80","30","6 WHEELER TRUCK - FORWARD","14.00"
2,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Golf","PARANAQUE","Consignee Lambda","CHINA","50","976.60","587700","86149.90","30","6 WHEELER TRUCK - FORWARD","150.00"
3,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Golf","PARANAQUE","Consignee Lambda","CHINA","130","1390.20","492800","317627.20","30","6 WHEELER TRUCK - FORWARD","14.00"
4,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Lima","PARANAQUE","Consignee Beta","CHINA","10","188.00","100","1000.00","30","6 WHEELER TRUCK - FORWARD","14.00"
5,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Lima","PARANAQUE","Consignee Beta","CHINA","40","423.70","302400","65981.80","30","6 WHEELER TRUCK - FORWARD","14.00"
6,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Lima","PARANAQUE","Consignee Beta","CHINA","40","1221.60","353200","116897.70","30","6 WHEELER TRUCK - FORWARD","14.00"
7,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder November","PARANAQUE","Consignee Sierra","CHINA","70","762.00","579800","173789.80","30","6 WHEELER TRUCK - FORWARD","14.00"
8,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Quebec","PARANAQUE","Consignee Romeo","CHINA","50","569.00","343700","141505.30","30","6 WHEELER TRUCK - FORWARD","14.00"
9,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Quebec","PARANAQUE","Consignee Romeo","CHINA","140","774.80","763700","236637.60","30","6 WHEELER TRUCK - FORWARD","14.00"
10,"2021-01-01",1,53,1,1,2021,"Friday   ","Forwarder Romeo","PARANAQUE","Consignee Echo","CHINA","50","376.30","234600","71802.10","30","6 WHEELER TRUCK - FORWARD","14.00"
11,"2021-01-02",2,53,1,1,2021,"Saturday ","Forwarder Alpha","PARANAQUE","Consignee India","CHINA","70","550.06","315840","111902.00","84","6 WHEELER TRUCK - FORWARD","14.00"
12,"2021-01-02",2,53,1,1,2021,"Saturday ","Forwarder Bravo","PARANAQUE","Consignee Yankee","CHINA","14","197.82","143080","32846.94","84","6 WHEELER TRUCK - FORWARD","14.00"
13,"2021-01-02",2,53,1,1,2021,"Saturday ","Forwarder Echo","PARANAQUE","Consignee Zulu","CHINA","98","621.04","837620","323546.44","84","6 WHEELER TRUCK - FORWARD","150.00"
14,"2021-01-02",2,53,1,1,2021,"Saturday ","Forwarder Eta","PARANAQUE","Consignee Zeta","CHINA","70","755.30","658560","179457.18","84","6 WHEELER TRUCK - FORWARD","14.00"
