pick_up_date,forwarders,warehouse_location,consignees,destination,number_of_packages,weight,quantity,value_of_package,number_of_pallets_per_day,trucking,trucking_billing
2022-01-03,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,1,2.82,48000,41179.05,1,6 WHEELER TRUCK - ELF,130
2022-01-04,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,2,7.65,4500,12244.8,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,65,3.2,105400,70357.8,1,6 WHEELER TRUCK - ELF,130
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,45.57,193500,474446.1,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,1.56,63000,3784.8,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,220.72,12800,59466,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,1,66.95,990000,37713.9,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Uniform,LAS PINAS,Consignee Victor,JAPAN,2,27.9,43500,9687.6,1,6 WHEELER TRUCK - ELF,110
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,2,5.9,9000,14711.76,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,12,46.93,60000,5472.12,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,5,66.43,36000,4244.58,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,1,3.17,14400,1159.2,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,3,3.4,175500,64809.3,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,4,0.77,266900,32409.75,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,6.3,138000,55594.71,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,81.49,64000,4467.6,2,6 WHEELER TRUCK - ELF,14
